cat_traveller_id,cat_traveller,traveller_cat,duration_id,duration_stay,duration_around,reason_id,reason_journey,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
5,Short-term (less than one year) Residents returning,Residents returning,1W,Under 1 week,3,TOT,Total,10,Original,M,Monthly,2018-06,129930,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,TOT,Total,10,Original,M,Monthly,2018-06,646650,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,H,Holiday,10,Original,M,Monthly,2018-06,301160,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,12M,6 and under 12 months,270,TOT,Total,10,Original,M,Monthly,2018-06,33550,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,7,Employment,10,Original,M,Monthly,2018-06,14790,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1W,Under 1 week,3,TOT,Total,10,Original,M,Monthly,2018-06,188770,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-06,195740,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,8,Education,10,Original,M,Monthly,2018-06,31790,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,TOT,Total,10,Original,M,Monthly,2018-06,808710,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,H,Holiday,10,Original,M,Monthly,2018-06,470170,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-06,256010,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-06,21630,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-06,111630,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-06,20780,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-06,23760,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-06,19740,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3M,2 and under 3 months,75,TOT,Total,10,Original,M,Monthly,2018-06,25660,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-06,27290,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,3,Business,10,Original,M,Monthly,2018-06,51100,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-06,115720,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-06,49680,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-06,187440,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-06,37530,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,8,Education,10,Original,M,Monthly,2018-06,7050,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-06,261490,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-06,205960,NUM,Number,rs
